model,x,lambda1,lambda2,gap,alpha,alpha_r2
xxz,1.5545,0.28186481156747445,0.5415796628785748,0.2597148513111004,1.6105274876915567,0.9496842763372869
xxz,1.604,0.29257063709608727,0.5520820060033288,0.2595113689072415,1.5720554324090237,0.9508013027577034
xxz,1.6535,0.30405012028701095,0.563168935799967,0.259118815512956,1.5326700972777554,0.9517947574327282
xxz,1.703,0.31625958796543596,0.5747777948167274,0.25851820685129145,1.4926897435219106,0.9526577888022343
xxz,1.7525,0.32915101317303064,0.5868447264448159,0.25769371327178525,1.452395435879024,0.9533888746813168
xxz,1.802,0.34267245398095547,0.5993053093952277,0.2566328554142723,1.412031948092345,0.9539906273088323
xxz,1.8515,0.3567685845759673,0.612095204753709,0.25532662017774177,1.371809752641564,0.9544687008197419
xxz,1.901,0.3713813026653634,0.6251507981435859,0.2537694954782225,1.3319076626472095,0.9548308486315622
xxz,1.9505,0.3864503946217843,0.6384098199197342,0.2519594252979499,1.2924757995034177,0.955086146115805
xxz,2.0,0.40191423813215,0.651811927768251,0.24989768963610104,1.2536386520719047,0.9552443736159221
tfim,0.02,0.01301230176420834,0.21424125964502772,0.20122895788081938,nan,nan
tfim,0.0695,0.14716230097158908,0.4725817453241349,0.3254194443525458,1.3805139181906427,0.7236399720380526
tfim,0.119,1.126727013781761,1.1352228385644072,0.0084958247826461,0.027618066972602683,0.9338340796068257
tfim,0.1685,1.1405388451519998,1.1415817450689207,0.0010428999169209696,0.01204842354597163,0.5865782254823946
tfim,0.218,1.1393967489572563,1.1408189761591734,0.0014222272019170923,0.01848667718660983,0.5775890156622279
tfim,0.2675,1.1373796331753772,1.139781608008857,0.002401974833479814,0.028981136811704406,0.5986968332428672
tfim,0.317,1.134564479545294,1.13847082844597,0.003906348900675871,0.042830007334640235,0.6242533424633903
tfim,0.3665,1.1306102894197136,1.1368091542940075,0.006198864874293886,0.06073560144183463,0.6538292791295579
tfim,0.416,1.1249434595358592,1.1346660734141738,0.009722613878314634,0.08378787306106268,0.6875191799994056
tfim,0.4655,1.1166712998143986,1.131837999179744,0.015166699365345426,0.11353257679734428,0.7249364601141208
tfim,0.515,1.1044878380320406,1.1280164360049874,0.023528597972946708,0.1520857949683467,0.7648889070698986
tfim,0.5645,1.0866343459903283,1.1227467987227004,0.03611245273237218,0.20218947428537695,0.8053003039939726
tfim,0.614,1.0609905383900524,1.1153876799655351,0.0543971415754827,0.26710736457957834,0.8435334291145007
tfim,0.6635,1.0253846973573097,1.105097526744228,0.07971282938691826,0.3502398671678411,0.8770962461714118
tfim,0.713,0.9781804713117843,1.09089591068775,0.11271543937596573,0.4544071245461607,0.9043951243305415
tfim,0.7625,0.9190500502288499,1.0718470565096363,0.1527970062807864,0.5809732275948264,0.9250829735655108
tfim,0.812,0.849588631196591,1.047358922255699,0.19777029105910793,0.7292371344750187,0.9398440923039131
tfim,0.8615,0.7733083599766548,1.017485129481509,0.24417676950485423,0.8964831998430608,0.9498715428265176
tfim,0.911,0.6948444438988841,0.9830507564395249,0.2882063125406408,1.078674265305072,0.9563997049568078
tfim,0.9605,0.6187472953996569,0.9454997432907877,0.3267524478911308,1.2713750963250587,0.9604591490966154
tfim,1.0,0.5620941428339681,0.9144424389583733,0.3523482961244052,1.429918847766355,0.9624502958209908
tfim,1.01,0.5484889274601364,0.9065393266920091,0.35805039923187265,1.4704838771720279,0.962819074015383
tfim,1.0595,0.4860602057132538,0.8677683823908796,0.3817081766776258,1.6726097939794373,0.9640213913258767
tfim,1.109,0.4321084424058759,0.8304371661961016,0.3983287237902257,1.8751573907642585,0.9644381305968691
tfim,1.1585,0.3863403912055004,0.7953718591900749,0.4090314679845745,2.0762477861511432,0.964322702102997
tfim,1.208,0.34794336205685933,0.763015829869846,0.4150724678129866,2.2745807238716327,0.9638479761341123
tfim,1.2575,0.3159033301669789,0.7335218718269633,0.41761854165998435,2.469294851585072,0.9631325428474677
tfim,1.307,0.28920026189489695,0.7068488124325094,0.41764855053761246,2.65984937716977,0.9622583096730926
tfim,1.3565,0.2669070450566549,0.6828406728142083,0.41593362775755344,2.845932034650909,0.9612822112499037
tfim,1.406,0.24822686805040778,0.6612833006506911,0.4130564326002833,3.027390711298971,0.9602440275767058
tfim,1.4555,0.2324968186141919,0.641941247429918,0.40944442881572607,3.2041839311193385,0.9591716455856019
tfim,1.505,0.2191756791960449,0.624579924648014,0.4054042454519692,3.376345504410568,0.9580846348132013
tfim,1.5545,0.20782611472767548,0.6089777773804989,0.40115166265282337,3.5439594914005323,0.9569967022558992
tfim,1.604,0.19809640855567784,0.594932117786069,0.3968357092303912,3.7071425722323657,0.9559173933855021
tfim,1.6535,0.1897040054311513,0.5822611489184216,0.39255714348727033,3.8660316343067254,0.9548532844078766
tfim,1.703,0.1824215985946975,0.5708038258463564,0.38838222725165883,4.020775128541938,0.953808821124637
tfim,1.7525,0.1760657756678349,0.5604185844657553,0.38435280879792044,4.171527026608917,0.9527869170820902
tfim,1.802,0.17048793666561707,0.5509815533546035,0.38049361668898646,4.318442640544895,0.9517893831568682
tfim,1.8515,0.1655671116164692,0.5423846067355794,0.3768174951191102,4.461675809606253,0.9508172330424832
tfim,1.901,0.1612043121387144,0.5345334516957897,0.3733291395570753,4.601376974959234,0.9498709089663926
tfim,1.9505,0.15731809943535718,0.527345850171139,0.3700277507357818,4.737691902798411,0.9489504469437701
tfim,2.0,0.15384110486459462,0.5207500169309525,0.36690891206635784,4.870761033619785,0.9480555886566656
spin_glass,0.02,1.0,1.0,0.0,nan,nan
spin_glass,0.0695,1.0,1.0,0.0,nan,nan
spin_glass,0.119,1.0,1.0,0.0,nan,nan
spin_glass,0.1685,1.0,1.0,0.0,nan,nan
spin_glass,0.218,1.0,1.0,0.0,nan,nan
spin_glass,0.2675,1.0,1.0,0.0,nan,nan
spin_glass,0.317,1.0,1.0,0.0,nan,nan
spin_glass,0.3665,1.0,1.0,0.0,nan,nan
spin_glass,0.416,1.0,1.0,0.0,nan,nan
spin_glass,0.4655,1.0,1.0,0.0,nan,nan
spin_glass,0.515,1.0,1.0,0.0,nan,nan
spin_glass,0.5645,1.0,1.0,0.0,nan,nan
spin_glass,0.614,1.0,1.0,0.0,nan,nan
spin_glass,0.6635,1.0,1.0,0.0,nan,nan
spin_glass,0.713,1.0,1.0,0.0,nan,nan
spin_glass,0.7625,1.0,1.0,0.0,nan,nan
spin_glass,0.812,1.0,1.0,0.0,nan,nan
spin_glass,0.8615,1.0,1.0,0.0,nan,nan
spin_glass,0.911,1.0,1.0,0.0,nan,nan
spin_glass,0.9605,1.0,1.0,0.0,nan,nan
