delta,b_power,r2_power,c_log,r2_log
0.6,0.7224570727590712,0.9999112502041205,-0.9686966786406168,0.9963833456881448
0.7,0.7877762258093491,0.9999849740825876,-0.8210067258335038,0.9986079707709649
0.8,0.8488505648812614,0.9999880089728269,-0.6556708855644342,0.999648844902594
0.9,0.8955161782783863,0.9999177153004254,-0.5071341625731451,0.9999664350482084
0.95,0.9092891834293378,0.9998792916672136,-0.45905660116957575,0.9999956255737619
1.0,0.9142677575041582,0.9998625180142103,-0.4412007393245464,0.9999994300421603
