model,N,param,E0_ed,E0_dmrg,E0_absdiff,lambda1_ed,lambda1_dmrg,lambda1_absdiff,psi_maxdiff,I_maxdiff,max_bond_dim,dmrg_converged,dmrg_time_s
xxz,8,1.0,-13.499730394751557,-13.499730394751555,1.7763568394002505e-15,0.22284317912952412,0.22284317912847906,1.0450529330796599e-12,1.2548861957426774e-12,3.407829574086918e-12,16,True,0.15883874893188477
tfim,8,1.0,-9.837951447460487,-9.837951446199215,1.261271975749878e-09,0.5620941428347297,0.5620938020648256,3.4076990407250207e-07,3.0266221034205842e-06,1.3287351641189105e-07,6,True,0.13637828826904297
xxz,10,1.0,-17.03214082913152,-17.032140827222094,1.909427282953402e-09,0.18287920930364115,0.18287822411608892,9.85187552232647e-07,3.146870821218832e-06,4.844637464529455e-07,20,True,0.1354525089263916
tfim,10,1.0,-12.381489999655894,-12.381489996678036,2.977857960217989e-09,0.5030723995807047,0.5030715247243323,8.748563724569891e-07,2.219749081676381e-06,1.3378792125262606e-06,8,True,0.08552765846252441
xxz,12,1.0,-20.568362531362126,-20.568362526676136,4.685990262487394e-09,0.1550367849343361,0.15503559897686026,1.1859574758354974e-06,2.0268207087558862e-06,4.2068795047534024e-07,23,True,0.21772050857543945
tfim,12,1.0,-14.925971109909847,-14.9259711075243,2.38554775933153e-09,0.46488969842396255,0.46488856077566487,1.137648297677707e-06,2.137052928334604e-06,1.7913308653083604e-06,9,True,0.16933941841125488
xxz,14,1.0,-24.1068986474487,-24.106898640317507,7.131191637199663e-09,0.13456755694399564,0.13456633534757967,1.2215964159678627e-06,1.5690123230786606e-06,6.794605782456387e-07,31,True,0.34571409225463867
tfim,14,1.0,-17.471004054733037,-17.47100405260497,2.1280648354604637e-09,0.4379243248947551,0.4379234041446176,9.207501374675076e-07,1.344626970694457e-06,8.813420439013342e-07,10,True,0.1558375358581543
