N,h,gap,N_gap,x_scaled
8,0.85,0.1787784408692712,1.4302275269541695,-1.2000000000000002
8,0.875,0.20617003804609446,1.6493603043687557,-1.0
8,0.9,0.23547378151342713,1.883790252107417,-0.7999999999999998
8,0.925,0.266555393187101,2.132443145496808,-0.5999999999999996
8,0.95,0.29927502713928256,2.3942002171142605,-0.40000000000000036
8,0.975,0.333492893191087,2.667943145528696,-0.20000000000000018
8,1.0,0.3690734378532188,2.95258750282575,0.0
8,1.025,0.40588819432017864,3.247105554561429,0.1999999999999993
8,1.05,0.4438175146541976,3.550540117233581,0.40000000000000036
8,1.075,0.48275142976713603,3.8620114381370882,0.5999999999999996
8,1.1,0.5225898713458026,4.180718970766421,0.8000000000000007
8,1.125,0.563242455959605,4.50593964767684,1.0
8,1.15,0.6046279902604823,4.8370239220838585,1.1999999999999993
10,0.85,0.12084490246156321,1.208449024615632,-1.5000000000000002
10,0.875,0.14499419670078062,1.4499419670078062,-1.25
10,0.9,0.1715769021242295,1.715769021242295,-0.9999999999999998
10,0.925,0.20044233121050858,2.004423312105086,-0.7499999999999996
10,0.95,0.23141397824984544,2.3141397824984544,-0.5000000000000004
10,0.975,0.2643032292875809,2.6430322928758088,-0.2500000000000002
10,1.0,0.2989203743457285,2.989203743457285,0.0
10,1.025,0.3350825327144733,3.350825327144733,0.2499999999999991
10,1.05,0.3726187174755662,3.726187174755662,0.5000000000000004
10,1.075,0.4113725756415185,4.113725756415185,0.7499999999999996
10,1.1,0.4512034186072853,4.512034186072853,1.0000000000000009
10,1.125,0.49198610114707364,4.919861011470736,1.25
10,1.15,0.5336101944967631,5.336101944967631,1.4999999999999991
12,0.85,0.08387374656146385,1.0064849587375662,-1.8000000000000003
12,0.875,0.1050463063743976,1.2605556764927712,-1.5
12,0.9,0.12913639693582546,1.5496367632299055,-1.1999999999999997
12,0.925,0.15600768322516956,1.8720921987020347,-0.8999999999999995
12,0.95,0.18546149633152886,2.2255379559783464,-0.6000000000000005
12,0.975,0.2172626120087422,2.6071513441049063,-0.30000000000000027
12,1.0,0.25116207811727875,3.013944937407345,0.0
12,1.025,0.2869145000355182,3.4429740004262186,0.29999999999999893
12,1.05,0.3242893449074007,3.8914721388888083,0.6000000000000005
12,1.075,0.36307712788237545,4.356925534588505,0.8999999999999995
12,1.1,0.4030918267295984,4.837101920755181,1.200000000000001
12,1.125,0.4441708324196121,5.330049989035345,1.5
12,1.15,0.4861734751733895,5.834081702080674,1.799999999999999
14,0.85,0.05914097166525423,0.8279736033135592,-2.1000000000000005
14,0.875,0.07755027331768716,1.0857038264476202,-1.75
14,0.9,0.09929852181247512,1.3901793053746516,-1.3999999999999997
14,0.925,0.1243051831741937,1.7402725644387118,-1.0499999999999994
14,0.95,0.15237281221225274,2.1332193709715384,-0.7000000000000006
14,0.975,0.18322677617575778,2.565174866460609,-0.3500000000000003
14,1.0,0.21655563434168457,3.031778880783584,0.0
14,1.025,0.2520436915816582,3.5286116821432145,0.34999999999999876
14,1.05,0.289392709501719,4.051497933024066,0.7000000000000006
14,1.075,0.32833368625876247,4.596671607622675,1.0499999999999994
14,1.1,0.3686313078084318,5.160838309318045,1.4000000000000012
14,1.125,0.410083788461332,5.741173038458648,1.75
14,1.15,0.4525202328377169,6.335283259728037,2.0999999999999988
16,0.85,0.04210454754296933,0.6736727606875093,-2.4000000000000004
16,0.875,0.05795884222935044,0.927341475669607,-2.0
16,0.9,0.07748864367270158,1.2398182987632254,-1.5999999999999996
16,0.925,0.10071701330906535,1.6114722129450456,-1.1999999999999993
16,0.95,0.12747948571458068,2.039671771433291,-0.8000000000000007
16,0.975,0.15747470987193424,2.519595357950948,-0.40000000000000036
16,1.0,0.19032766329500106,3.045242612720017,0.0
16,1.025,0.22564495584193622,3.6103192934709796,0.3999999999999986
16,1.05,0.2630525731057105,4.208841169691368,0.8000000000000007
16,1.075,0.3022160380765797,4.835456609225275,1.1999999999999993
16,1.1,0.34284757337118776,5.485561173939004,1.6000000000000014
16,1.125,0.38470543075991515,6.155286892158642,2.0
16,1.15,0.4275893533802133,6.841429654083413,2.3999999999999986
18,0.85,0.03015248141905502,0.5427446655429904,-2.7
18,0.875,0.04367081634400449,0.7860746941920809,-2.25
18,0.9,0.061101087217185324,1.0998195699093358,-1.7999999999999996
18,0.925,0.0826180560321994,1.4871250085795893,-1.3499999999999992
18,0.95,0.10812872920826777,1.9463171257488199,-0.9000000000000008
18,0.975,0.13732340569801593,2.471821302564287,-0.4500000000000004
18,1.0,0.16976481278441824,3.0557666301195283,0.0
18,1.025,0.20497492911903947,3.6895487241427105,0.4499999999999984
18,1.05,0.2424960105832561,4.36492819049861,0.9000000000000008
18,1.075,0.2819226129574943,5.074607033234898,1.3499999999999992
18,1.1,0.3229121015710028,5.8124178282780505,1.8000000000000016
18,1.125,0.3651828024276149,6.5732904436970685,2.25
18,1.15,0.4085066174128613,7.353119113431504,2.6999999999999984
20,0.85,0.021670641211375852,0.43341282422751704,-3.0000000000000004
20,0.875,0.033084190303789285,0.6616838060757857,-2.5
20,0.9,0.04853945247987568,0.9707890495975136,-1.9999999999999996
20,0.925,0.06840490113318864,1.368098022663773,-1.4999999999999991
20,0.95,0.09270164024655259,1.8540328049310517,-1.0000000000000009
20,0.975,0.1211354992136684,2.422709984273368,-0.5000000000000004
20,1.0,0.15321093476022085,3.064218695204417,0.0
20,1.025,0.18835887698966047,3.7671775397932095,0.4999999999999982
20,1.05,0.226030035787403,4.52060071574806,1.0000000000000009
20,1.075,0.26574299638922483,5.314859927784497,1.4999999999999991
20,1.1,0.3070986149210242,6.141972298420484,2.0000000000000018
20,1.125,0.3497760274091526,6.995520548183052,2.5
20,1.15,0.3935212852491041,7.8704257049820825,2.9999999999999982
