h,pin,lambda1
0.5,1e-08,1.108689329378456
0.5,1e-07,1.108689329363561
0.5,1e-06,1.108689328141921
0.5,1e-05,1.108689205713672
0.5,0.0001,1.1086769647419064
0.5,0.001,1.1074648617992524
1.0,1e-08,0.5620941428340189
1.0,1e-07,0.562094142839412
1.0,1e-06,0.5620941428284785
1.0,1e-05,0.5620941426350573
1.0,0.0001,0.562094129457801
1.0,0.001,0.5620928052521024
