N,delta,lambda1,lambda2,gap,alpha
12,0.0,0.34419767211322144,0.5854880869124023,0.24129041479918084,1.2882752363361993
12,0.1,0.3094186460722945,0.5438804838483184,0.23446183777602392,1.3830053677443441
12,0.2,0.2782614482369944,0.5054746782670759,0.22721323003008154,1.4759909362653623
12,0.30000000000000004,0.2506084770621295,0.47055913968627233,0.2199506626241428,1.5670394380153596
12,0.4,0.22637658019909698,0.43940051148272274,0.21302393128362576,1.655534063747868
12,0.5,0.20552453808411647,0.4122563472081964,0.20673180912407996,1.740251729384723
12,0.6000000000000001,0.18806559500031766,0.3893888993676192,0.20132330436730156,1.8191227437836408
12,0.7000000000000001,0.17408157332812602,0.37107607472027404,0.19699450139214802,1.8889826859466115
12,0.8,0.1637350592826046,0.3576155570259596,0.193880497743355,1.9454516608668873
12,0.9,0.1572757654573671,0.34931847485424017,0.19204270939687307,1.9831870590607061
12,1.0,0.1550367849343256,0.3464900568885373,0.1914532719542117,1.9967806472028764
12,1.1,0.1574164925191045,0.3493965689848962,0.19198007646579168,1.9822921516612417
12,1.2000000000000002,0.16484278842846609,0.35822038833637776,0.19337759990791167,1.9387976251013523
12,1.3,0.1777186153052931,0.3730080579578936,0.1952894426526005,1.868962204029988
12,1.4000000000000001,0.19635142775756348,0.39361909917040516,0.19726767141284168,1.7782141959890052
12,1.5,0.22087438056180425,0.41968557768849213,0.19881119712668788,1.6731339844835171
12,1.6,0.25117249008258247,0.4505930970038934,0.19942060692131092,1.5600142665243535
12,1.7000000000000002,0.2868309206248871,0.4854921462371605,0.19866122561227345,1.4440696270751001
12,1.8,0.32712216733005733,0.5233439426465838,0.19622177531652646,1.3292301093300471
12,1.9000000000000001,0.3710422931237881,0.5629973896450342,0.1919550965212461,1.2182581046460441
12,2.0,0.4173942290750926,0.6032853889010232,0.18589115982593063,1.1129757652996919
