N,delta,lambda1,lambda2,gap,alpha
6,0.0,0.47436675817757545,0.8058229773132173,0.3314562191356418,1.2453978729801458
6,0.1,0.4359156181635488,0.7643176093783595,0.3284019912148107,1.336451677998134
6,0.2,0.4023701720903907,0.7269362827354434,0.3245661106450527,1.4203759144862833
6,0.30000000000000004,0.3734812930486769,0.6939956526986923,0.32051435965001546,1.496479643279637
6,0.4,0.34901480130143914,0.6656681517584953,0.3166533504570561,1.5640436269432967
6,0.5,0.32875746647189436,0.6420138612686418,0.31325639479674744,1.6223570556742444
6,0.6000000000000001,0.31251954282672023,0.6230054851762862,0.31048594234956595,1.6707649058273744
6,0.7000000000000001,0.30013384899666407,0.6085469466189694,0.3084130976223053,1.7087241507299438
6,0.8,0.29145194607791425,0.5984867528226108,0.3070348067446965,1.7358629643435557
6,0.9,0.2863382010925871,0.5926274793397627,0.30628927824717556,1.7520340887417978
6,1.0,0.28466259440941644,0.5907326853050723,0.30607009089565584,1.757352640802037
6,1.1,0.2862931181047993,0.5925324013364411,0.30623928323164185,1.7522104453350393
6,1.2000000000000002,0.2910885512303423,0.5977280963041096,0.30663954507376734,1.737263248675609
6,1.3,0.29889229764986047,0.6059977656017695,0.3071054679519091,1.7133926224154032
6,1.4000000000000001,0.3095278338742572,0.6170015164932012,0.30747368261894403,1.6816492181718583
6,1.5,0.32279614067350154,0.6303877761310864,0.3075916354575849,1.6431867963832256
6,1.6,0.3384752921625325,0.6458000338458004,0.3073247416832679,1.5991965918063675
6,1.7000000000000002,0.35632216616252477,0.6628838673995588,0.3065617012370341,1.5508495857136098
6,1.8,0.37607604195000055,0.6812939038334548,0.30521786188345423,1.4992512047651843
6,1.9000000000000001,0.3974636889540174,0.700700332322474,0.30323664336845657,1.4454099380180545
6,2.0,0.4202054412471813,0.7207946135371814,0.30058917229000015,1.3902190541056492
