N,lambda1_XXZ_crit,lambda1_TFIM_crit
6,0.2846625944094142,0.2812899551445046
8,0.22284317914622875,0.1538408350128329
10,0.18287822411462995,0.09622554751670706
12,0.1550355989184054,0.06562083827382605
14,0.13456634321242086,0.047520920954001
16,0.1189002961494989,0.0359633201069986
18,0.10653132501008439,0.028147095105164385
20,0.09652126395307337,0.022620293030890307
