N,t,lambda1,lambda2,gap,alpha
10,0.2,0.37342587696338625,0.6363307483594413,0.262904871396055,1.2736954095878068
10,0.29000000000000004,0.37342587696337715,0.6363307483594357,0.26290487139605856,1.2736954095878255
10,0.38,0.37342587696337426,0.6363307483594342,0.2629048713960599,1.2736954095878323
10,0.47000000000000003,0.3734258769633773,0.6363307483594356,0.2629048713960583,1.2736954095878246
10,0.56,0.3734258769633789,0.6363307483594366,0.26290487139605767,1.2736954095878217
10,0.6499999999999999,0.3734258769633734,0.6363307483594332,0.2629048713960597,1.2736954095878334
10,0.74,0.37342587696337565,0.6363307483594345,0.26290487139605884,1.2736954095878283
10,0.8300000000000001,0.3734258769633799,0.6363307483594369,0.262904871396057,1.2736954095878203
10,0.9199999999999999,0.37342587696337737,0.6363307483594353,0.2629048713960579,1.2736954095878257
10,1.01,0.3734258769633767,0.6363307483594356,0.2629048713960589,1.2736954095878257
10,1.0999999999999999,0.37342587696338253,0.6363307483594393,0.2629048713960567,1.2736954095878137
10,1.19,0.37342587696337387,0.6363307483594338,0.26290487139605995,1.2736954095878326
10,1.28,0.3734258769633822,0.6363307483594389,0.2629048713960567,1.2736954095878161
10,1.3699999999999999,0.37342587696337715,0.6363307483594353,0.2629048713960581,1.2736954095878252
10,1.46,0.37342587696337654,0.6363307483594349,0.2629048713960584,1.273695409587828
10,1.5499999999999998,0.3734258769633748,0.6363307483594343,0.26290487139605945,1.273695409587831
10,1.64,0.37342587696337964,0.6363307483594368,0.26290487139605717,1.2736954095878206
10,1.73,0.3734258769633744,0.6363307483594335,0.26290487139605906,1.2736954095878303
10,1.8199999999999998,0.37342587696338425,0.6363307483594401,0.2629048713960559,1.273695409587809
10,1.91,0.37342587696337554,0.6363307483594349,0.2629048713960594,1.273695409587829
10,2.0,0.37342587696338253,0.6363307483594393,0.2629048713960567,1.2736954095878126
