N,t,lambda1,lambda2,gap,alpha
12,0.2,0.34419767211321894,0.5854880869124007,0.24129041479918178,1.2882752363362033
12,0.29000000000000004,0.344197672113222,0.5854880869124023,0.24129041479918029,1.2882752363361996
12,0.38,0.34419767211322033,0.5854880869124014,0.24129041479918106,1.2882752363362004
12,0.47000000000000003,0.3441976721132205,0.585488086912402,0.24129041479918145,1.2882752363362004
12,0.56,0.3441976721132251,0.5854880869124048,0.24129041479917973,1.2882752363361902
12,0.6499999999999999,0.3441976721132196,0.5854880869124003,0.24129041479918067,1.2882752363362033
12,0.74,0.3441976721132173,0.5854880869123995,0.24129041479918223,1.2882752363362062
12,0.8300000000000001,0.344197672113214,0.5854880869123978,0.24129041479918384,1.288275236336215
12,0.9199999999999999,0.3441976721132215,0.5854880869124022,0.24129041479918067,1.2882752363361991
12,1.01,0.3441976721132222,0.5854880869124026,0.2412904147991804,1.2882752363361976
12,1.0999999999999999,0.34419767211321534,0.5854880869123985,0.24129041479918317,1.2882752363362113
12,1.19,0.34419767211322677,0.5854880869124051,0.2412904147991783,1.2882752363361871
12,1.28,0.3441976721132223,0.585488086912402,0.24129041479917968,1.2882752363361978
12,1.3699999999999999,0.3441976721132223,0.5854880869124025,0.24129041479918023,1.2882752363361973
12,1.46,0.34419767211322394,0.5854880869124043,0.24129041479918034,1.2882752363361925
12,1.5499999999999998,0.3441976721132171,0.5854880869124,0.24129041479918284,1.2882752363362073
12,1.64,0.3441976721132219,0.5854880869124026,0.24129041479918073,1.2882752363361982
12,1.73,0.3441976721132156,0.5854880869123986,0.241290414799183,1.288275236336211
12,1.8199999999999998,0.34419767211323266,0.5854880869124099,0.2412904147991773,1.2882752363361754
12,1.91,0.34419767211322544,0.5854880869124043,0.24129041479917884,1.288275236336189
12,2.0,0.34419767211322194,0.5854880869124026,0.24129041479918067,1.288275236336199
